song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
65,264706,0.0018899999999999,0.4582971557897333,0.774,0.000549,6,0.143,-4.053999999999999,1,0.0338,116.529,4,0.0824
75,231480,0.00461,0.2484720444539614,0.83,0.0,6,0.139,-5.157,0,0.0421,89.34200000000001,4,0.4529999999999999
74,213760,0.00506,0.4646024311707771,0.932,0.0,9,0.2689999999999999,-3.3280000000000003,1,0.18,96.234,4,0.6920000000000001
74,178266,0.000618,0.4892141392270401,0.911,0.0,9,0.0769,-5.176,1,0.0715,98.075,4,0.573
11,269373,0.000917,0.1148554088190007,0.959,0.0,9,0.0279999999999999,-4.04,1,0.0431,172.984,4,0.365
73,242280,0.00164,0.1300147885829251,0.93,6.670000000000001e-05,5,0.39,-3.468,0,0.0487,112.447,4,0.526
74,201960,0.00347,0.3517930607156684,0.932,0.00147,4,0.144,-3.405,0,0.0708,130.936,4,0.544
79,229093,0.00898,0.3081935852344929,0.8240000000000001,0.0,7,0.163,-4.7410000000000005,1,0.0794,161.977,4,0.6990000000000001
70,193373,0.0223,0.624,0.899,0.000155,0,0.0975,-5.71,1,0.0295,104.055,4,0.797
60,282946,0.0417,0.4629636260988356,0.753,0.0,3,0.389,-4.618,0,0.036,105.754,4,0.434
69,200546,5.53e-05,0.1449518678505827,0.961,0.0834,10,0.138,-4.421,0,0.0851,167.032,4,0.357
73,279213,0.000996,0.3311449067917414,0.8759999999999999,6.89e-06,3,0.106,-4.262,0,0.0553,89.954,4,0.941
62,212733,0.0006309999999999,0.4124194971079729,0.768,0.301,9,0.102,-7.48,1,0.0387,169.873,4,0.35
72,256240,0.00834,0.3092237995295447,0.86,0.0106,8,0.39,-7.532999999999999,1,0.0621,97.867,4,0.517
57,194520,0.000153,0.4071648721800244,0.831,0.0019199999999999,2,0.141,-3.892,1,0.0613,139.946,4,0.6829999999999999
71,206586,0.000213,0.1526687612726487,0.875,0.00168,1,0.113,-4.49,1,0.0488,143.526,4,0.725
63,173680,0.00225,0.6881958270895502,0.948,0.0,6,0.376,-4.19,0,0.0356,103.183,4,0.778
64,215266,0.0132,0.4885810485717682,0.578,0.00921,9,0.108,-4.563,1,0.12,123.669,4,0.537
71,270920,0.00014,0.4679999999999999,0.769,0.00124,4,0.271,-7.0360000000000005,1,0.0409999999999999,104.102,4,0.17
61,175026,0.000295,0.5464138369942697,0.932,7.59e-05,6,0.138,-4.4910000000000005,0,0.0885,93.675,4,0.698
67,246040,4.78e-05,0.6483838598779856,0.93,0.0,0,0.126,-4.478,1,0.0671,169.22099999999998,4,0.386
63,176306,5.1e-05,0.7596732331232136,0.952,0.0989,2,0.157,-3.621,1,0.176,112.886,1,0.172
